cohort,school_ID_num,school_name,school_type,program,degree_type,number_people_in_cohort,median_debt,mean_debt
2016_2017,001437,Catholic University of America (the),Private,Music.,Post-baccalaureate Certificate,,,
2016_2017,001437,Catholic University of America (the),Private,Music.,Master's Degree,11,,47275
2016_2017,001437,Catholic University of America (the),Private,Music.,Doctoral Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Natural Resources Conservation and Research.,Master's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Natural Resources Conservation and Research.,Master's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Non-Professional General Legal Studies (Undergraduate).,Master's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Non-Professional General Legal Studies (Undergraduate).,Master's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Pastoral Counseling and Specialized Ministries.,Doctoral Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Pastoral Counseling and Specialized Ministries.,Doctoral Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Philosophy.,Bachelor's Degree,31,21500,19953
2015_2016,001437,Catholic University of America (the),Private,Philosophy.,Master's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Philosophy.,Doctoral Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Philosophy.,Bachelor's Degree,22,16925,17325
2016_2017,001437,Catholic University of America (the),Private,Philosophy.,Master's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Philosophy.,Doctoral Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Physics.,Bachelor's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Physics.,Master's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Physics.,Doctoral Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Physics.,Bachelor's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Physics.,Master's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Physics.,Doctoral Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Political Science and Government.,Bachelor's Degree,128,25062,22675
2015_2016,001437,Catholic University of America (the),Private,Political Science and Government.,Master's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Political Science and Government.,Doctoral Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Political Science and Government.,First Professional Degree,,,
