ori,ori9,fips_state_county_code,crosswalk_agency_name,census_name
OKDI052,OKDI05200,40017,Bu Ind Affairs Div Law Enf Concho Agcy Concho,Cheyenne-arapaho Tribes Of Oklahoma
OK00901,OK0090100,40017,El Reno Police Department,El Reno City
OK00905,OK0090500,40017,Mustang Police Department,Mustang City
OK00906,OK0090600,40017,Piedmont Police Department,Piedmont City
OK00908,OK0090800,40017,Union City Police Department,Union City Town
OK00902,OK0090200,40017,Yukon Police Department,Yukon City
OK00900,OK0090000,40017,Canadian County Sheriff's Office,Canadian County
OK01001,OK0100100,40019,Ardmore Police Department,Ardmore City
OK01010,OK0101000,40019,Healdton Police Department,Healdton City
OK01011,OK0101100,40019,Lone Grove Police Department,Lone Grove City
OK01017,OK0101700,40019,Wilson Police Department,Wilson City
OK01000,OK0100000,40019,Carter County Sheriff's Office,Carter County
OK01105,OK0110500,40021,Hulbert Police Department,Hulbert Town
OK01101,OK0110100,40021,Tahlequah Police Department,Tahlequah City
OK01110,OK0111000,40021,Northeastern State University Police,State Of Oklahoma
OK01112,OK0111200,40021,Cherokee Nation Tribal Marshal Service,Cherokee Nation Of Oklahoma
OK01100,OK0110000,40021,Cherokee County Sheriff's Office,Cherokee County
OK01203,OK0120300,40023,Boswell Police Department,Boswell Town
OK01205,OK0120500,40023,Fort Towson Pd,Fort Towson Town
OK01201,OK0120100,40023,Hugo Police Dept,Hugo City
OK01215,OK0121500,40023,Sawyer Police Department,Sawyer Town
OK01200,OK0120000,40023,Choctaw County Sheriff's Office,Choctaw County
OK01301,OK0130100,40025,Boise City Police Department,Boise City City
OK01305,OK0130500,40025,Keyes Police Department,Keyes Town
OK01300,OK0130000,40025,Cimarron County Sheriff's Office,Cimarron County
OK01403,OK0140300,40027,Lexington Police Department,Lexington Town
OK01401,OK0140100,40027,Moore Police Department,Moore City
OK01404,OK0140400,40027,Noble Police Department,Noble City
OK01402,OK0140200,40027,Norman Police Department,Norman City
OK01408,OK0140800,40027,Norman Public Schools Safety & Securitypartment,Norman Sch Dist 29
OK01405,OK0140500,40027,University Of Oklahoma Police Department,State Of Oklahoma
OK01407,OK0140700,40027,Hall Park Pd Norman,State Of Oklahoma
OK01400,OK0140000,40027,Cleveland County Sheriff's Office,Cleveland County
OK01501,OK0150100,40029,Coalgate Police Department,Coalgate City
OK01500,OK0150000,40029,Coal County Sheriff's Office,Coal County
OK01606,OK0160600,40031,Fletcher Police Department,Fletcher Town
OKDI150,OKDI15000,40031,Comanche Nation Tribal Police,Comanche Nation Indian Tribe
OK01601,OK0160100,40031,Lawton Police Department,Lawton City
OK01615,OK0161500,40031,Cameron University Office Of Public Safety,State Of Oklahoma
OK01610,OK0161000,40031,Medicine Park Police Department,Medicine Park Town
OK01600,OK0160000,40031,Comanche County Sheriff's Office,Comanche County
OK01707,OK0170700,40033,Temple Pd,Temple Town
OK01701,OK0170100,40033,Walters Police Department,Walters City
OK01700,OK0170000,40033,Cotton County Sheriff's Office,Cotton County
OK01806,OK0180600,40035,Ketchum Pd,Ketchum Town
OK01801,OK0180100,40035,Vinita Police Department,Vinita City
OK01800,OK0180000,40035,Craig County Sheriff's Office,Craig County
OK01901,OK0190100,40037,Bristow Police Department,Bristow City
OK01902,OK0190200,40037,Drumright Police Department,Drumright City
OK01906,OK0190600,40037,Kellyville Police Department,Kellyville Town
OK01907,OK0190700,40037,Kiefer Police Department,Kiefer Town
OK01908,OK0190800,40037,Mannford Police Department,Mannford Town
OK01910,OK0191000,40037,Mounds Police Department,Mounds Town
OK01911,OK0191100,40037,Oilton Police Department,Oilton City
OK01903,OK0190300,40037,Sapulpa Police Department,Sapulpa City
OK01900,OK0190000,40037,Creek County Sheriff's Office,Creek County
OK02001,OK0200100,40039,Clinton Police Department,Clinton City
OK02002,OK0200200,40039,Weatherford Police Department,Weatherford City
OK02009,OK0200900,40039,Southwestern Oklahoma State University Police,State Of Oklahoma
OK02000,OK0200000,40039,Custer County Sheriff's Office,Custer County
OK02104,OK0210400,40041,Colcord Police Department,Colcord Town
OK02114,OK0211400,40041,Sandusky Pd Colcord,Colcord Town
OK02107,OK0210700,40041,Grove Police Department,Grove City
OK02108,OK0210800,40041,Jay Police Department,Jay City
OK02116,OK0211600,40041,West Siloam Springs Police Dept,West Siloam Springs Town
OK02100,OK0210000,40041,Delaware County Sheriff's Office,Delaware County
OK02211,OK0221100,40043,Seiling Police Department,Seiling City
OK02214,OK0221400,40043,Vici Police Department,Vici Town
OK02200,OK0220000,40043,Dewey County Sheriff's Office,Dewey County
OK02307,OK0230700,40045,Shattuck Police Department,Shattuck Town
OK02300,OK0230000,40045,Ellis County Sheriff's Office,Ellis County
OK02401,OK0240100,40047,Enid Police Department,Enid City
OK02415,OK0241500,40047,Lahoma Police Dept,Lahoma Town
OK02416,OK0241600,40047,North Enid Police Department,North Enid Town
OK02417,OK0241700,40047,Waukomis Police Department,Waukomis Town
OK02400,OK0240000,40047,Garfield County Sheriff's Office,Garfield County
OK02505,OK0250500,40049,Elmore City Police Department,Elmore City Town
OK02501,OK0250100,40049,Lindsay Police Department,Lindsay City
OK02509,OK0250900,40049,Maysville Police Department,Maysville Town
OK02510,OK0251000,40049,Paoli Police Department,Paoli Town
OK02502,OK0250200,40049,Pauls Valley Police Department,Pauls Valley City
OK02513,OK0251300,40049,Stratford Police Department,Stratford Town
OK02503,OK0250300,40049,Wynnewood Police Department,Wynnewood City
OK02500,OK0250000,40049,Garvin County Sheriff's Office,Garvin County
OK02601,OK0260100,40051,Chickasha Police Department,Chickasha City
OK02609,OK0260900,40051,Minco Police Department,Minco City
OK02610,OK0261000,40051,Ninnekah Police Department,Ninnekah Town
OK02613,OK0261300,40051,Rush Springs Police Department,Rush Springs Town
OK02615,OK0261500,40051,Tuttle Police Department,Tuttle City
OK02600,OK0260000,40051,Grady County Sheriff's Office,Grady County
OK02704,OK0270400,40053,Lamont Police Department,Lamont Town
OK02700,OK0270000,40053,Grant County Sheriff's Office,Grant County
OK02803,OK0280300,40055,Granite Police Department,Granite City
OK02801,OK0280100,40055,Mangum Police Department,Mangum City
OK02800,OK0280000,40055,Greer County Sheriff's Office,Greer County
OK02901,OK0290100,40057,Hollis Police Department,Hollis City
OK02900,OK0290000,40057,Harmon County Sheriff's Office,Harmon County
OK03001,OK0300100,40059,Buffalo Pd,Buffalo Town
OK03002,OK0300200,40059,Laverne Police Department,Laverne Town
OK03000,OK0300000,40059,Harper County Sheriff's Office,Harper County
OK03104,OK0310400,40061,Keota Police Department,Keota Town
OK03108,OK0310800,40061,Mccurtain Police Department,Mccurtain Town
OK03101,OK0310100,40061,Stigler Police Department,Stigler City
OK03100,OK0310000,40061,Haskell County Sheriff's Office,Haskell County
OK03201,OK0320100,40063,Holdenville Police Department,Holdenville City
OK03202,OK0320200,40063,Wetumka Police Department,Wetumka City
OK03200,OK0320000,40063,Hughes County Sheriff's Office,Hughes County
OK03301,OK0330100,40065,Altus Police Department,Altus City
OK03300,OK0330000,40065,Jackson County Sheriff's Office,Jackson County
OK03408,OK0340800,40067,Ringling Police Department,Ringling Town
OK03412,OK0341200,40067,Waurika Police Department,Waurika City
OK03400,OK0340000,40067,Jefferson County Sheriff's Office,Jefferson County
OK03501,OK0350100,40069,Tishomingo Police Department,Tishomingo City
OK03518,OK0351800,40069,Murray State College Campus Pd Tishomingo,State Of Oklahoma
OK03500,OK0350000,40069,Johnston County Sheriff's Office,Johnston County
OK03601,OK0360100,40071,Blackwell Police Department,Blackwell City
OK03618,OK0361800,40071,Kaw Nation Tribal Police,Kaw Nation Of Oklahoma
OK03612,OK0361200,40071,Kaw City Police Department,Kaw City City
OK03602,OK0360200,40071,Newkirk Police Department,Newkirk City
OK03603,OK0360300,40071,Ponca City Police Department,Ponca City City
OK03620,OK0362000,40071,Ponca Tribal Pd,Ponca Tribe Of Oklahoma
OK03619,OK0361900,40071,Tonkawa Tribal Police Department,Tonkawa Tribe
OK03604,OK0360400,40071,Tonkawa Police Department,Tonkawa City
OK03600,OK0360000,40071,Kay County Sheriff's Office,Kay County
OK03701,OK0370100,40073,Hennessey Police Department,Hennessey Town
OK03702,OK0370200,40073,Kingfisher Police Department,Kingfisher City
OK03707,OK0370700,40073,Okarche Police Department,Okarche Town
OK03700,OK0370000,40073,Kingfisher County Sheriff's Office,Kingfisher County
OK03801,OK0380100,40075,Hobart Police Department,Hobart City
OK03814,OK0381400,40075,Mountain View Police Department,Mountain View Town
OK03811,OK0381100,40075,Snyder Police Department,Snyder City
OK03800,OK0380000,40075,Kiowa County Sheriff's Office,Kiowa County
OK03901,OK0390100,40077,Wilburton Police Department,Wilburton City
OK03900,OK0390000,40077,Latimer County Sheriff's Office,Latimer County
OK04003,OK0400300,40079,Arkoma Police Department,Arkoma Town
OK04005,OK0400500,40079,Bokoshe Police Department,Bokoshe Town
OK04011,OK0401100,40079,Heavener Police Department,Heavener City
OK04014,OK0401400,40079,Howe Police Department,Howe Town
OK04022,OK0402200,40079,Panama Police Department,Panama Town
OK04023,OK0402300,40079,Pocola Police Department,Pocola City
OK04001,OK0400100,40079,Poteau Police Department,Poteau City
OK04026,OK0402600,40079,Shady Point Police Department,Shady Point Town
OK04027,OK0402700,40079,Spiro Police Department,Spiro Town
OK04002,OK0400200,40079,Talihina Police Department,Talihina Town
OK04031,OK0403100,40079,Wister Police Department,Wister Town
OK04000,OK0400000,40079,Leflore County Sheriff's Office,Le Flore County
OK04104,OK0410400,40081,Agra Police Department,Agra Town
OK04106,OK0410600,40081,Carney Police Department,Carney Town
OK04101,OK0410100,40081,Chandler Police Department,Chandler City
OK04107,OK0410700,40081,Davenport Police Department,Davenport Town
OK04111,OK0411100,40081,Meeker Police Department,Meeker Town
OK04102,OK0410200,40081,Prague Police Department,Prague City
OK04114,OK0411400,40081,Sparks Pd,Sparks Town
OK04103,OK0410300,40081,Stroud Police Department,Stroud City
OK04118,OK0411800,40081,Sac And Fox Nation Tribal Police Department,Sac And Fox Nation Of Oklahoma
OK04115,OK0411500,40081,Tryon Police Department,Tryon Town
OK04117,OK0411700,40081,Wellston Police Department,Wellston Town
OK04100,OK0410000,40081,Lincoln County Sheriff's Office,Lincoln County
OK04202,OK0420200,40083,Coyle Police Department,Coyle Town
OK04203,OK0420300,40083,Crescent Police Department,Crescent City
OK04201,OK0420100,40083,Guthrie Police Department,Guthrie City
OK04204,OK0420400,40083,Langston Police Department,Langston Town
OK04200,OK0420000,40083,Logan County Sheriff's Office,Logan County
OK04301,OK0430100,40085,Marietta Police Department,Marietta City
OK04300,OK0430000,40085,Love County Sheriff's Office,Love County
OK04401,OK0440100,40087,Blanchard Police Department,Blanchard City
OK04406,OK0440600,40087,Dibble Police Department,Dibble Town
OK04408,OK0440800,40087,Newcastle Police Department,Newcastle City
OK04402,OK0440200,40087,Purcell Police Department,Purcell City
OK04411,OK0441100,40087,Washington Police Department,Washington Town
OK04412,OK0441200,40087,Wayne Police Department,Wayne Town
OK04400,OK0440000,40087,Mcclain County Sheriff's Office,Mcclain County
OK04501,OK0450100,40089,Broken Bow Police Department,Broken Bow City
OK04502,OK0450200,40089,Idabel Police Department,Idabel City
OK04516,OK0451600,40089,Valliant Police Department,Valliant Town
OK04518,OK0451800,40089,Wright City Police Department,Wright City Town
OK04500,OK0450000,40089,Mccurtain County Sheriff's Office,Mccurtain County
OK04601,OK0460100,40091,Checotah Police Department,Checotah City
OK04602,OK0460200,40091,Eufaula Police Department,Eufaula City
OK04600,OK0460000,40091,Mcintosh County Sheriff's Office,Mcintosh County
OK04706,OK0470600,40093,Cleo Springs Pd,Cleo Springs Town
OK04701,OK0470100,40093,Fairview Police Department,Fairview City
OK04700,OK0470000,40093,Major County Sheriff's Office,Major County
OK04803,OK0480300,40095,Kingston Police Department,Kingston Town
OK04801,OK0480100,40095,Madill Police Department,Madill City
OK04811,OK0481100,40095,Madill Public Schools Campus Police,Madill Sch Dist 2
OK04800,OK0480000,40095,Marshall County Sheriff's Office,Marshall County
OK04901,OK0490100,40097,Chouteau Police Department,Chouteau Town
OK04907,OK0490700,40097,Langley Police Department,Langley Town
OK04908,OK0490800,40097,Locust Grove Police Department,Locust Grove Town
OK04902,OK0490200,40097,Pryor Police Department,Pryor Creek City
OK04915,OK0491500,40097,Salina Police Department,Salina Town
OK04917,OK0491700,40097,Spavinaw Police Department,Spavinaw Town
OK04900,OK0490000,40097,Mayes County Sheriff's Office,Mayes County
OK04919,OK0491900,40097,Grand River Dam Authority Police Department,State Of Oklahoma
OK05002,OK0500200,40099,Davis Police Department,Davis City
OK05001,OK0500100,40099,Sulphur Police Department,Sulphur City
OK05000,OK0500000,40099,Murray County Sheriff's Office,Murray County
OK05107,OK0510700,40101,Fort Gibson Police Department,Fort Gibson Town
OK05108,OK0510800,40101,Haskell Police Department,Haskell Town
OK05101,OK0510100,40101,Muskogee Police Department,Muskogee City
OK05112,OK0511200,40101,Porum Police Department,Porum Town
OK05116,OK0511600,40101,Warner Police Department,Warner Town
OK05100,OK0510000,40101,Muskogee County Sheriff's Office,Muskogee County
OK05207,OK0520700,40103,Morrison Pd,Morrison Town
OK05201,OK0520100,40103,Perry Police Department,Perry City
OKDI055,OKDI05500,40103,Otoe-missouria Tribal Police Department,Otoe-missouria Tribe Of Oklahoma
OK05200,OK0520000,40103,Noble County Sheriff's Office,Noble County
OK05301,OK0530100,40105,Nowata Police Department,Nowata City
OK05308,OK0530800,40105,South Coffeyville Police Department,South Coffeyville Town
OK05300,OK0530000,40105,Nowata County Sheriff's Office,Nowata County
OK05404,OK0540400,40107,Boley Police Department,Boley Town
OK05401,OK0540100,40107,Okemah Police Department,Okemah City
OK05408,OK0540800,40107,Paden Pd,Paden Town
OK05402,OK0540200,40107,Weleetka Police Department,Weleetka City
OK05400,OK0540000,40107,Okfuskee County Sheriff's Office,Okfuskee County
OK05501,OK0550100,40109,Bethany Police Department,Bethany City
OK05510,OK0551000,40109,Choctaw Police Department,Choctaw City
OK05502,OK0550200,40109,Del City Police Department,Del City City
OK05503,OK0550300,40109,Edmond Police Department,Edmond City
OK05517,OK0551700,40109,University Of Central Oklahoma Police,State Of Oklahoma
OK05516,OK0551600,40109,Forest Park Police Department,Forest Park Town
OK05511,OK0551100,40109,Harrah Police Department,Harrah City
OK05512,OK0551200,40109,Jones Police Department,Jones Town
OK05513,OK0551300,40109,Luther Police Department,Luther Town
OK05504,OK0550400,40109,Midwest City Police Department,Midwest City City
OK05505,OK0550500,40109,Nichols Hills Police Department,Nichols Hills City
OK05514,OK0551400,40109,Nicoma Park Police Department,Nicoma Park City
OK05506,OK0550600,40109,Oklahoma City Police Department,Oklahoma City City
OK05518,OK0551800,40109,University Of Oklahoma Health Sciences Center Poli,State Of Oklahoma
OK05522,OK0552200,40109,Putnam City Schools Campus Police Department,Putnam City Sch Dist 1
OKOHP00,OKOHP0000,40109,Oklahoma Highway Patrol,State Of Oklahoma
OKOHP17,OKOHP1700,40109,Capitol Park Police,State Of Oklahoma
OK05519,OK0551900,40109,Will Rogers Apt Pd Ok Cty,State Of Oklahoma
OK05524,OK0552400,40109,University Hospitals Police Department,State Of Oklahoma
OK05543,OK0554300,40109,Ok City University Campus Police Department,State Of Oklahoma
OK05515,OK0551500,40109,Spencer Police Department,Spencer City
OK05507,OK0550700,40109,The Village Police Department,The Village City
OK05521,OK0552100,40109,Valley Brook Police Department,Valley Brook Town
OK05508,OK0550800,40109,Warr Acres Police Department,Warr Acres City
OK05500,OK0550000,40109,Oklahoma County Sheriff's Office,Oklahoma County
OK05604,OK0560400,40111,Beggs Police Department,Beggs City
OK05606,OK0560600,40111,Dewar Police Department,Dewar City
OK05601,OK0560100,40111,Henryetta Police Department,Henryetta City
OK05611,OK0561100,40111,Morris Police Department,Morris City
OK05617,OK0561700,40111,Muscogee Creek Nation Tribal Police,Muscogee (creek) Nation
OK05602,OK0560200,40111,Okmulgee Police Department,Okmulgee City
OK05616,OK0561600,40111,Oklahoma State University - Okmulgee Police,State Of Oklahoma
OK05600,OK0560000,40111,Okmulgee County Sheriff's Office,Okmulgee County
OK05701,OK0570100,40113,Barnsdall Police Department,Barnsdall City
OK05702,OK0570200,40113,Fairfax Police Department,Fairfax Town
OK05703,OK0570300,40113,Hominy Police Department,Hominy City
OK05704,OK0570400,40113,Pawhuska Police Department,Pawhuska City
OK05726,OK0572600,40113,Osage Nation Tribal Police,Osage Nation
OK05719,OK0571900,40113,Shidler Police Department,Shidler City
OK05723,OK0572300,40113,Wynona Police Department,Wynona Town
OK05700,OK0570000,40113,Osage County Sheriff's Office,Osage County
OK05804,OK0580400,40115,Afton Pd,Afton Town
OK05801,OK0580100,40115,Commerce Police Department,Commerce City
OK05802,OK0580200,40115,Miami Police Department,Miami City
OKDI004,OKDI00400,40115,Miami Tribal Police Department,Miami Tribe
OK05815,OK0581500,40115,Northeastern Oklahoma A & M Police,State Of Oklahoma
OKDI060,OKDI06000,40115,Bia Miami Agency Br Of Law Enforcement Miami,Miami Tribe
OK05803,OK0580300,40115,Picher Pd,State Of Oklahoma
OKDI008,OKDI00800,40115,Quapaw Tribal Marshals Service,_undetermined
OKDI140,OKDI14000,40115,Eastern Shawnee Tribal Police,Eastern Shawnee Tribe Of Oklahoma
OK05814,OK0581400,40115,Wyandotte Tribal Police,Otoe-missouria Tribe Of Oklahoma
OK05812,OK0581200,40115,Wynadotte Pd,Wyandotte Town
OK05800,OK0580000,40115,Ottawa County Sheriff's Office,Ottawa County
OK05901,OK0590100,40117,Cleveland Police Department,Cleveland City
OK05912,OK0591200,40117,Pawnee Nation Tribal Police,Pawnee Nation
OK05902,OK0590200,40117,Pawnee Police Department,Pawnee City
OKDI053,OKDI05300,40117,Bu Ind Affairs Div Law Enf Pawnee Agcy Pawnee,Pawnee Nation
OK05908,OK0590800,40117,Ralston Pd,Ralston Town
OK05900,OK0590000,40117,Pawnee County Sheriff's Office,Pawnee County
OK06001,OK0600100,40119,Cushing Police Department,Cushing City
OK06004,OK0600400,40119,Glencoe Police Department,Glencoe Town
OK06006,OK0600600,40119,Perkins Police Department,Perkins Town
OK06011,OK0601100,40119,Iowa Tribal Police Department,Iowa Tribe Of Oklahoma
OK06010,OK0601000,40119,Oklahoma State University Police Dept,State Of Oklahoma
OK06002,OK0600200,40119,Stillwater Police Department,Stillwater City
OK06003,OK0600300,40119,Yale Police Department,Yale City
OK06000,OK0600000,40119,Payne County Sheriff's Office,Payne County
OK06114,OK0611400,40121,Haileyville Police Department,Haileyville City
OK06101,OK0610100,40121,Hartshorne Police Department,Hartshorne City
OK06117,OK0611700,40121,Kiowa Police Department,Kiowa Town
OK06118,OK0611800,40121,Krebs Police Department,Krebs City
OK06102,OK0610200,40121,Mcalester Police Department,Mcalester City
OK06123,OK0612300,40121,Mcalester Public Schools Campus Police,Mcalester Sch Dist 80
OK06120,OK0612000,40121,Quinton Police Department,Quinton Town
OK06100,OK0610000,40121,Pittsburg County Sheriff's Office,Pittsburg County
OK06201,OK0620100,40123,Ada Police Department,Ada City
OKDI180,OKDI18000,40123,Chickasaw Nation Lighthorse Tribal Police Dept,Chickasaw Nation
OK06216,OK0621600,40123,East Central University Police Department,State Of Oklahoma
OK06203,OK0620300,40123,Allen Police Department,Allen Town
OK06214,OK0621400,40123,Stonewall Police Department,Stonewall Town
OK06200,OK0620000,40123,Pontotoc County Sheriff's Office,Pontotoc County
OK06314,OK0631400,40125,Mcloud Police Department,Mcloud Town
OK06321,OK0632100,40125,Kickapoo Nation Tribal Police,Kickapoo Tribe Of Oklahoma
OK06313,OK0631300,40125,Maud Police Department,Maud City
OK06322,OK0632200,40125,Citizen Potawatomi Tribal Police,Citizen Band Potawatomi Nation
OK06301,OK0630100,40125,Shawnee Police Department,Shawnee City
OK06323,OK0632300,40125,Absentee Shawnee Tribal Police Of Oklahoma,Absentee-shawnee Tribe Of Oklahoma
OK06302,OK0630200,40125,Tecumseh Police Department,Tecumseh City
OK06300,OK0630000,40125,Pottawatomie County Sheriff's Office,Pottawatomie County
OK06401,OK0640100,40127,Antlers Police Department,Antlers City
OK06403,OK0640300,40127,Clayton Police Department,Clayton Town
OK06400,OK0640000,40127,Pushmataha County Sheriff's Office,Pushmataha County
OK06502,OK0650200,40129,Cheyenne Pd,Cheyenne Town
OK06505,OK0650500,40129,Hammon Pd,Hammon Town
OK06500,OK0650000,40129,Roger Mills County Sheriff's Office,Roger Mills County
OK06603,OK0660300,40131,Catoosa Police Department,Catoosa City
OK06604,OK0660400,40131,Chelsea Police Department,Chelsea Town
OK06613,OK0661300,40131,Rogers State University Police,State Of Oklahoma
OK06601,OK0660100,40131,Claremore Police Department,Claremore City
OK06606,OK0660600,40131,Inola Police Department,Inola Town
OK06607,OK0660700,40131,Oologah Police Department,Oologah Town
OK06615,OK0661500,40131,Verdigris Police Department,Verdigris Town
OK06600,OK0660000,40131,Rogers County Sheriff's Office,Rogers County
OK06701,OK0670100,40133,Konawa Police Department,Konawa City
OK06710,OK0671000,40133,Sasakwa Pd,Sasakwa Town
OK06702,OK0670200,40133,Seminole Police Department,Seminole City
OK06713,OK0671300,40133,Seminole State College Police,State Of Oklahoma
OKDI062,OKDI06200,40133,Seminole Nation Lighthorse Tribal Police,Seminole Nation Of Oklahoma
OK06703,OK0670300,40133,Wewoka Police Department,Wewoka City
OK06700,OK0670000,40133,Seminole County Sheriff's Office,Seminole County
OK06807,OK0680700,40135,Gore Police Department,Gore Town
OK06812,OK0681200,40135,Muldrow Police Department,Muldrow Town
OK06814,OK0681400,40135,Roland Police Department,Roland Town
OK06801,OK0680100,40135,Sallisaw Police Department,Sallisaw City
OK06816,OK0681600,40135,Vian Police Department,Vian City
OK06800,OK0680000,40135,Sequoyah County Sheriff's Office,Sequoyah County
OK06901,OK0690100,40137,Comanche Police Department,Comanche City
OK06902,OK0690200,40137,Duncan Police Department,Duncan City
OK06903,OK0690300,40137,Marlow Police Department,Marlow City
OK06900,OK0690000,40137,Stephens County Sheriff's Office,Stephens County
OK07006,OK0700600,40139,Goodwell Police Department,Goodwell Town
OK07001,OK0700100,40139,Guymon Police Department,Guymon City
OK07013,OK0701300,40139,Guymon Public Schools Campus Police,Guymon Sch Dist 8
OK07002,OK0700200,40139,Hooker Police Department,Hooker City
OK07010,OK0701000,40139,Texhoma Police Department,Texhoma Town
OK07000,OK0700000,40139,Texas County Sheriff's Office,Texas County
OK07101,OK0710100,40141,Frederick Police Department,Frederick City
OK07103,OK0710300,40141,Grandfield Police Department,Grandfield City
OK07107,OK0710700,40141,Tipton Police Department,Tipton Town
OK07100,OK0710000,40141,Tillman County Sheriff's Office,Tillman County
OK07206,OK0720600,40143,Bixby Police Department,Bixby City
OK07201,OK0720100,40143,Broken Arrow Police Department,Broken Arrow City
OK07221,OK0722100,40143,Campus Police Broken Arrow Campus Ne State Univ,State Of Oklahoma
OK07202,OK0720200,40143,Collinsville Police Department,Collinsville City
OK07207,OK0720700,40143,Glenpool Police Department,Glenpool City
OK07208,OK0720800,40143,Jenks Police Department,Jenks City
OK07213,OK0721300,40143,Jenks Public Schools Campus Police,Jenks Sch Dist 5
OK07210,OK0721000,40143,Owasso Police Department,Owasso City
OK07203,OK0720300,40143,Sand Springs Police Department,Sand Springs City
OK07204,OK0720400,40143,Skiatook Police Department,Skiatook Town
OK07211,OK0721100,40143,Sperry Police Department,Sperry Town
OK07205,OK0720500,40143,Tulsa Police Department,Tulsa City
OK07212,OK0721200,40143,Tulsa Community College Police,Tulsa Co Area Voc-tech Sch Dist 18
OK07214,OK0721400,40143,Oklahoma State University - Tulsa Police Dept,State Of Oklahoma
OK07200,OK0720000,40143,Tulsa County Sheriff's Office,Tulsa County
OK07303,OK0730300,40145,Coweta Police Department,Coweta City
OK07307,OK0730700,40145,Porter Police Department,Porter Town
OK07301,OK0730100,40145,Wagoner Police Department,Wagoner City
OK07300,OK0730000,40145,Wagoner County Sheriff's Office,Wagoner County
OK07401,OK0740100,40147,Bartlesville Police Department,Bartlesville City
OK07403,OK0740300,40147,Copan Pd,Copan Town
OK07402,OK0740200,40147,Dewey Police Department,Dewey City
OK07406,OK0740600,40147,Ramona Police Department,Ramona Town
OK07400,OK0740000,40147,Washington County Sheriff's Office,Washington County
OK07503,OK0750300,40149,Burns Flat Police Department,Burns Flat Town
OK07504,OK0750400,40149,Canute Pd,Canute Town
OK07501,OK0750100,40149,Cordell Police Department,New Cordell City
OK07515,OK0751500,40149,Sentinel Police Department,Sentinel Town
OK07500,OK0750000,40149,Washita County Sheriff's Office,Washita County
OK07601,OK0760100,40151,Alva Police Department,Alva City
OK07602,OK0760200,40151,Waynoka Police Department,Waynoka City
OK07600,OK0760000,40151,Woods County Sheriff's Office,Woods County
OK07704,OK0770400,40153,Fort Supply Pd,Fort Supply Town
OK07705,OK0770500,40153,Mooreland Police Department,Mooreland Town
OK07701,OK0770100,40153,Woodward Police Department,Woodward City
OK07700,OK0770000,40153,Woodward County Sheriff's Office,Woodward County
OR00101,OR0010100,41001,Baker City Police Department,Baker City City
OR00100,OR0010000,41001,Baker County Sheriff's Office,Baker County
OR001SP,OR001SP00,41001,Sp: Baker County,State Of Oregon
OR00107,OR0010700,41001,Liquor Comm: Baker Cnty,State Of Oregon
OR00206,OR0020600,41003,Adair Village Police Department,Adair Village City
OR00201,OR0020100,41003,Corvallis Police Department,Corvallis City
OR00204,OR0020400,41003,Or State Univ Sec Dept Corvallis,State Of Oregon
OR00203,OR0020300,41003,Monroe Pd,Monroe Town
OR00202,OR0020200,41003,Philomath Police Department,Philomath City
OR00200,OR0020000,41003,Benton County Sheriff's Office,Benton County
OR002SP,OR002SP00,41003,Sp: Benton County,State Of Oregon
OR00205,OR0020500,41003,Liquor Comm: Benton Cnty,State Of Oregon
OR00301,OR0030100,41005,Canby Police Department,Canby City
OR00302,OR0030200,41005,Estacada Pd,Estacada City
OR00303,OR0030300,41005,Gladstone Police Department,Gladstone City
OR00304,OR0030400,41005,Lake Oswego Police Department,Lake Oswego City
OR00305,OR0030500,41005,Milwaukie Police Department,Milwaukie City
OR00306,OR0030600,41005,Molalla Police Department,Molalla City
OR00307,OR0030700,41005,Oregon City Police Department,Oregon City City
OR00308,OR0030800,41005,Sandy Police Department,Sandy City
OR00309,OR0030900,41005,West Linn Police Department,West Linn City
OR00312,OR0031200,41005,Wilsonville Police Department,Wilsonville City
OR00300,OR0030000,41005,Clackamas County Sheriff's Office,Clackamas County
OR003SP,OR003SP00,41005,Sp: Clackamas County,State Of Oregon
OR00401,OR0040100,41007,Astoria Police Department,Astoria City
OR00405,OR0040500,41007,Cannon Beach Police Department,Cannon Beach City
OR00402,OR0040200,41007,Gearhart Police Department,Gearhart City
OR00406,OR0040600,41007,Hammond Pd,State Of Oregon
OR00403,OR0040300,41007,Seaside Police Department,Seaside City
OR00404,OR0040400,41007,Warrenton Police Department,Warrenton City
OR00400,OR0040000,41007,Clatsop County Sheriff's Office,Clatsop County
OR004SP,OR004SP00,41007,Sp: Clatsop County,State Of Oregon
OR00407,OR0040700,41007,Liquor Comm: Clatsop Cty,State Of Oregon
OR00501,OR0050100,41009,Clatskanie Police Department,Clatskanie City
OR00506,OR0050600,41009,Columbia City Police Department,Columbia City City
OR00502,OR0050200,41009,Rainier Police Department,Rainier City
OR00503,OR0050300,41009,St. Helens Police Department,St Helens City
OR00504,OR0050400,41009,Scappoose Police Department,Scappoose City
OR00505,OR0050500,41009,Vernonia Police Department,Vernonia City
OR00500,OR0050000,41009,Columbia County Sheriff's Office,Columbia County
OR005SP,OR005SP00,41009,Sp: Columbia County,State Of Oregon
OR00507,OR0050700,41009,Liquor Comm: Columiba Co,State Of Oregon
OR00601,OR0060100,41011,Bandon Police Department,Bandon City
OR00610,OR0061000,41011,Coquille Tribal Police Department,Coquille Indian Tribe
